"probe","GSM302859","GSM302864","GSM302866","GSM302870","GSM302872","GSM302882","GSM302896","GSM302900","GSM302924","GSM302927","GSM302933","GSM302943","GSM303364","GSM303366","GSM303368","GSM303520","GSM303522","GSM303523","GSM303525","GSM303531","GSM303533"
"205643_s_at",112.403,108.713,154.913,113.35,116.067,152.154,133.662,126.705,106.97,110.797,79.4028,59.1962,117.375,146.842,96.825,84.4372,181.461,27.5759,38.4616,84.9479,50.0683
"205644_s_at",2050.04,2308.95,2379.04,2976.33,1534.06,1379.52,1614.82,2461.34,1447.51,1710.29,2117.7,1790.72,1631.14,1784.94,2295.64,1682.07,2802.95,1885.22,1559.48,1360.21,1881.59
"205645_at",23.378,51.8857,75.0879,147.475,19.5321,38.5783,54.9321,76.3647,9.51776,69.6723,43.6855,79.8343,21.2595,83.6902,41.8265,49.2485,17.3927,40.7843,59.507,102.438,52.0895
"205646_s_at",12.5333,24.2137,34.5784,15.631,19.5133,39.3794,34.6849,6.51352,64.3309,15.6807,19.3366,19.4694,29.169,31.6452,20.5001,34.5708,20.5216,22.1237,9.7106,23.206,25.1456
"205647_at",93.006,118.734,154.256,30.8761,13.4639,24.1978,48.5679,110.435,95.3941,32.0251,76.9676,91.7937,106.289,151.148,110.501,83.6239,79.4612,62.7639,97.9905,194.144,99.1679
"205648_at",106.065,18.3056,88.0713,122.916,125.525,97.5954,105.53,51.4189,135.752,26.2556,68.255,69.8885,133.238,85.2742,87.1721,36.3921,69.9471,22.0804,80.1556,50.672,20.6424
"205649_s_at",11.3214,9.7731,3.16446,3.18983,8.29861,18.8836,8.92281,1.7327,6.36098,3.13174,6.96104,0.954536,13.7992,4.81229,7.87186,2.20466,2.50595,12.0931,2.23528,5.13315,2.02457
"205650_s_at",178.837,132.099,151.12,136.313,161.689,30.2339,129.99,113.508,139.801,40.8693,119.589,49.6942,126.48,134.98,125.885,146.203,161.749,79.3891,100.815,81.5234,15.7117
"205651_x_at",94.2639,55.9917,142.168,135.676,65.838,75.0015,90.7848,59.8072,53.6984,58.2999,55.2393,38.7219,81.5441,96.4884,42.8884,43.3611,137.082,45.1996,49.2424,63.8549,56.231
"205652_s_at",138.216,212.947,122.74,16.9683,212.98,185.904,97.8572,161.584,171.173,159.145,181.904,210.68,167.037,186.305,94.2063,118.331,52.439,210.365,202.741,234.089,140.905
"205653_at",385.138,185.317,174.351,189.187,121.069,144.493,84.4244,216.625,159.506,308.155,158.588,220.08,504.076,154.383,106.306,109.886,399.821,105.176,340.116,284.98,326.819
"205654_at",158.503,126.179,160.647,23.6803,141.428,79.1594,96.0001,100.58,99.4358,40.8432,40.078,24.1231,114.154,126.331,78.4571,73.5401,144.066,57.8246,121.986,77.0514,81.5554
"205655_at",40.953,11.6923,8.26094,45.1898,35.52,7.36022,14.5524,6.46207,14.6275,13.6004,3.05,29.1598,7.98872,12.6969,6.5907,48.7857,34.9427,13.5799,5.95329,3.01613,38.3447
"205656_at",1042.69,236.212,217.748,198.379,252.721,246.895,1044.31,346.331,297.163,421.75,201.124,404.735,529.723,341.817,245.097,374.278,254.359,640.936,388.348,429.49,736.348
"205657_at",98.0219,192.962,116.41,142.087,180.601,140.398,142.091,114.605,110.148,66.9714,24.101,200.99,96.8498,58.2336,111.171,115.461,111.809,202.846,152.438,175.786,131.57
"205658_s_at",318.795,251.426,205.492,348.512,217.063,214.162,248.075,206.193,218.91,204.809,281.093,213.035,266.096,242.169,243.716,268.844,126.774,200.72,288.749,305.259,282.604
"205659_at",201.532,229.021,331.035,48.467,248.415,169.831,219.783,189.323,126.515,199.1,187.732,261.222,196.377,133.871,193.482,74.7778,107.481,164.353,192.882,184.735,170.451
"205660_at",258.117,220.733,247.064,438.589,413.495,220.695,356.852,292.992,215.268,309.234,266.32,418.895,475.303,162.232,262.299,331.602,350.681,244.703,305.719,326.071,376.757
"205661_s_at",369.676,168.6,188.337,451.657,217.875,229.864,243.061,208.689,243.128,291.247,228.196,237.365,337.096,190.116,260.588,266.737,367.453,163.153,198.335,254.34,229.497
"205662_at",19.9946,24.2886,17.2683,11.401,106.483,29.4238,85.6372,68.31,32.1744,23.1042,58.05,14.736,19.023,23.9586,18.9919,6.81434,19.9218,7.47403,19.373,28.3997,25.5073
"205663_at",273.788,183.221,88.8445,181.349,187.357,109.63,142.428,209.921,95.4434,146.059,96.6501,131.041,178.257,247.853,150.073,189.319,59.3581,194.778,20.5702,23.7426,36.4202
"205664_at",266.154,251.988,278.327,325.038,150.158,266.254,293.096,354.148,232.981,206.019,185.574,252.304,177.805,369.838,181.084,207.359,343.096,176.729,188.555,153.397,166.741
"205665_at",110.837,19.1025,46.3895,13.7266,19.2079,41.4448,13.2649,6.8257,20.8961,16.2946,18.3572,50.2155,20.2814,8.88187,28.7242,19.7853,23.8784,54.5497,20.7297,39.1183,41.5521
"205666_at",332.985,166.477,165.006,62.0159,188.099,196.541,562.99,92.7522,118.503,271.45,180.778,356.153,346.224,251.142,133.26,320.316,41.4829,360.753,192.485,251.436,132.286
"205667_at",205.154,147.982,163.612,306.4,220.413,206.513,192.08,205.158,209.406,121.025,197.003,101.503,210.699,143.985,128.049,136.569,234.419,147.666,133.902,111.765,151.212
"205668_at",315.645,368.844,288.897,249.35,659.025,589.477,577.667,1026.86,257.591,460.1,755.639,631.968,603.955,276.879,480.662,195.571,270.22,153.333,147.284,147.323,191.151
"205669_at",37.6329,29.6303,52.0593,8.92286,60.0768,67.5124,80.2729,87.5641,51.3932,57.5284,41.1241,44.777,51.1302,29.7742,24.1631,28.7819,35.9158,20.1145,52.3585,42.6812,44.7137
"205670_at",5.21508,13.8115,21.1435,5.18403,5.02214,6.60635,4.71821,4.62026,4.16114,4.58479,9.25575,3.45164,4.01949,4.1016,5.88787,6.9287,12.2393,8.17571,6.7024,7.51062,6.29826
"205671_s_at",117.16,13.5738,24.8391,30.5833,252.141,151.376,369.588,557.102,71.6497,840.861,2062.05,481.228,758.439,31.5085,658.42,145.289,133.755,164.101,92.8102,63.1757,27.8069
"205672_at",400.155,721.62,452.418,294.963,582.04,606.503,506.512,508.505,599.258,485.377,652.018,508.387,351.993,685.738,509.173,416.73,284.94,465.878,515.452,466.392,497.471
"205673_s_at",147.415,152.051,129.441,85.5334,97.9111,119.922,113.459,101.24,135.897,115.14,57.3228,86.6448,109.948,128.055,118.232,94.363,85.457,132.758,86.316,105.735,58.4419
