sex,ensembl_id,logFC_response,p_response,fdr_response,p_response_x_drug,fdr_response_x_drug,n
male,ENSG00000074935,-0.00441133710637685,0.975901070999276,0.998416575299077,0.668239001861421,0.964808952444428,23
male,ENSG00000096696,1.07164351992306,0.340925694860813,0.991248756653092,0.100525308911113,0.848603952639447,23
male,ENSG00000099251,-0.484449063492596,0.018486828630632,0.991248756653092,0.574966666010904,0.959078914948855,23
male,ENSG00000100246,0.156110463624904,0.48038032193653,0.99468329452041,0.74721461026766,0.978488779093326,23
male,ENSG00000104756,0.334190891264895,0.00541315826901588,0.991248756653092,0.0749041393798604,0.839630381064626,23
male,ENSG00000106070,0.0549172415481577,0.87505436552928,0.998140467490338,0.276191570091741,0.908588149181425,23
male,ENSG00000106605,-0.727223499619628,0.00140519012781956,0.991248756653092,0.541861671068126,0.95541228950518,23
male,ENSG00000108561,-0.206855235706062,0.0646689576525442,0.991248756653092,0.00255853819456154,0.682753442331083,23
male,ENSG00000110925,0.255874167590267,0.016076508916284,0.991248756653092,0.015928402376382,0.820729332976251,23
male,ENSG00000124780,-0.0435912935064995,0.95985266150508,0.998140467490338,0.341655445784092,0.92373441367557,23
male,ENSG00000125864,1.24954296931725,0.0134175688135691,0.991248756653092,0.26624707415231,0.907452066507556,23
male,ENSG00000130766,0.493452147023951,0.0103365740441362,0.991248756653092,0.0292285061748098,0.839630381064626,23
male,ENSG00000130940,0.550950359923619,0.00208913493568055,0.991248756653092,0.832272458859204,0.983510504059166,23
male,ENSG00000131507,-0.279612163802492,0.0037984141836695,0.991248756653092,0.12933286509521,0.86428787884131,23
male,ENSG00000139112,0.239555003037446,0.309457146418015,0.991248756653092,0.00131398589825689,0.576906431809824,23
male,ENSG00000139200,-0.957911541063663,0.254163814520202,0.991248756653092,0.00185567076467021,0.576906431809824,23
male,ENSG00000140598,-0.18337291002508,0.214757866336105,0.991248756653092,0.12802207116005,0.86428787884131,23
male,ENSG00000143442,0.246004229796943,0.00297958844224255,0.991248756653092,0.983006891120889,0.998599341312074,23
male,ENSG00000143514,0.172685662888266,0.0522359173020135,0.991248756653092,0.00192359619489228,0.581759609208589,23
male,ENSG00000145217,-0.647758279934239,0.409663546700697,0.994365938591443,0.869070822860518,0.987245547531934,23
male,ENSG00000146263,0.386342021523682,0.00137183901948906,0.991248756653092,0.432215459683115,0.939405949329591,23
male,ENSG00000156970,-1.04900196222668,0.193319607609284,0.991248756653092,0.833593721211651,0.983510504059166,23
male,ENSG00000158169,-0.117044478604139,0.682046944629307,0.998140467490338,0.710853200468473,0.970434597076699,23
male,ENSG00000161981,0.11062909632878,0.60103618583586,0.997932744769543,0.863346221360465,0.986374326563931,23
male,ENSG00000162191,-0.228546264799464,0.00198234073870455,0.991248756653092,0.336853747060988,0.92373441367557,23
male,ENSG00000164066,-0.956427571933081,0.194379589916966,0.991248756653092,0.525212565010508,0.953972840035889,23
