gene,eQTL_MR_OR,eQTL_MR_pval,eQTL_MR_FDR,eQTL_MHC_region
GMPS,0.94,0.419376,0.831873836,FALSE
CXCL1,0.99,0.9211647,0.984159428,FALSE
TOPBP1,0.92,0.3961978,0.824589297,FALSE
ZDHHC3,0.97,0.8140163,0.962676974,FALSE
ZNF148,1.05,0.6034493,0.913719188,FALSE
BAP1,1.11,0.6643585,0.934219597,FALSE
PRKCD,0.99,0.8879973,0.977207774,FALSE
PBRM1,1.23,0.3045282,0.770571679,FALSE
CDC25A,1.02,0.9121903,0.982392475,FALSE
HMGB2,0.97,0.8013381,0.960209581,FALSE
MAD2L1,1.02,0.7297346,0.946202243,FALSE
ANXA5,0.99,0.5641306,0.895411904,FALSE
TLR3,0.94,0.5009187,0.868093213,FALSE
FOXQ1,0.99,0.8252688,0.965087088,FALSE
RPS14,1,0.9354932,0.985279163,FALSE
PTTG1,1.03,0.733605,0.946939128,FALSE
RAD21,1,0.8704026,0.973306119,FALSE
FASTK,1.08,0.6531083,0.930763137,FALSE
YWHAZ,1.03,0.596324,0.910697707,FALSE
TP53INP1,0.92,0.08517733,0.531779693,FALSE
SYK,0.94,0.02441606,0.318406914,FALSE
FXN,0.85,0.5447337,0.886548365,FALSE
WRN,1.07,0.1592986,0.64414706,FALSE
NUDT5,0.99,0.8271745,0.965087088,FALSE
BMS1,1.32,0.06078451,0.468742305,FALSE
STK32C,0.96,0.2605576,0.741094017,FALSE
UBTD1,0.95,0.784361,0.958021994,FALSE
HTRA1,0.95,0.3904543,0.821994916,FALSE
BRD7,1.01,0.5233641,0.875242482,FALSE
CKB,0.98,0.7306146,0.946256298,FALSE
ALKBH3,0.94,0.3511086,0.797771126,FALSE
ILK,0.89,0.4363551,0.840457547,FALSE
TPP1,1.01,0.7164582,0.943106167,FALSE
WEE1,0.98,0.7436068,0.949446102,FALSE
NDST2,1.04,0.3778924,0.816294904,FALSE
MCM7,1.02,0.7812855,0.957160084,FALSE
RRAD,1.06,0.3264081,0.783748827,FALSE
PPIB,1.52,0.1713227,0.659257798,FALSE
PLK1,1.02,0.8209954,0.963880133,FALSE
STAT6,1.02,0.4943161,0.865499383,FALSE
YWHAB,0.88,0.2670424,0.744235758,FALSE
SMAD3,0.88,0.1945357,0.687823544,FALSE
AKTIP,0.97,0.3498182,0.796697792,FALSE
ENDOG,0.99,0.6887748,0.939570212,FALSE
FBXO22,1.27,0.2177443,0.707094779,FALSE
STIM1,1.1,0.2457122,0.729764078,FALSE
RRM1,1.04,0.2543875,0.735538665,FALSE
AXL,0.84,0.06885465,0.490511279,FALSE
CTNNB1,0.97,0.5654822,0.896288716,FALSE
DDIT4,0.76,0.09975491,0.562883784,FALSE
RBPJ,1.02,0.7578905,0.95184189,FALSE
ING5,0.99,0.7949273,0.959469855,FALSE
ING2,0.81,0.0381244,0.383557929,FALSE
STAT3,0.96,0.641927,0.926891558,FALSE
MAP2K1,1.03,0.6550857,0.931580962,FALSE
CPT1C,1.24,0.05718012,0.45526626,FALSE
PTK2,1.01,0.9442703,0.987685037,FALSE
FASN,0.96,0.1751885,0.663189053,FALSE
FOS,1.05,0.5571414,0.891438715,FALSE
SMAD1,1.24,0.1193979,0.59532119,FALSE
CDCA4,0.98,0.7554717,0.951028188,FALSE
HOPX,0.94,0.408886,0.829024736,FALSE
LPAR3,1.05,0.2611425,0.741369653,FALSE
ATF7IP,0.91,0.4885503,0.863334638,FALSE
HDAC3,0.95,0.6438209,0.927805721,FALSE
BCL2,0.85,0.5343883,0.882095781,FALSE
KNDC1,1.01,0.8408447,0.967116155,FALSE
EIF2AK3,1.11,0.4703212,0.854392359,FALSE
MOB3A,0.93,0.7278017,0.945662369,FALSE
CEBPB,0.9,0.2249721,0.714070892,FALSE
ZMAT3,1.01,0.7962595,0.959571996,FALSE
MUS81,0.97,0.7205096,0.943106167,FALSE
MYD88,0.92,0.6655516,0.934219597,FALSE
KAT5,1.21,0.3944434,0.823481467,FALSE
RELA,0.64,0.1456475,0.628763101,FALSE
MST1,1,0.9365243,0.985487823,FALSE
STAT5B,1,0.9716719,0.993800584,FALSE
CD34,0.98,0.8703512,0.973306119,FALSE
TLR10,0.89,0.3607796,0.804266359,FALSE
P2RY14,1.05,0.2968119,0.766613529,FALSE
UBE2C,1.04,0.7994661,0.960209581,FALSE
TMEM9B,0.99,0.6516446,0.930387548,FALSE
SMAD2,1,0.9688158,0.993039357,FALSE
SFN,0.96,0.7836756,0.958021994,FALSE
SPHK1,1.02,0.6228759,0.922007707,FALSE
CDK5R1,1.03,0.1088467,0.58052676,FALSE
TYMS,1.02,0.8636097,0.972110029,FALSE
ACER2,0.96,0.7874041,0.958021994,FALSE
CAVIN1,1.11,0.5819133,0.902917356,FALSE
JUN,0.89,0.03747796,0.381696994,FALSE
UBE2N,1.22,0.3138769,0.77723366,FALSE
CD28,0.89,0.355098,0.801472556,FALSE
MAF,0.94,0.6493788,0.929295822,FALSE
SUZ12,1.43,0.1169627,0.592015265,FALSE
AURKB,0.96,0.4826704,0.860987043,FALSE
ALOX15B,0.97,0.705116,0.942735071,FALSE
RCC1,0.95,0.1051862,0.572850685,FALSE
PAK2,1.15,0.1289858,0.607012329,FALSE
CXCR2,0.95,0.2615496,0.741754521,FALSE
OXTR,0.95,0.7530112,0.950847414,FALSE
NQO1,0.98,0.6182096,0.919469261,FALSE
RUVBL2,0.98,0.6089434,0.916288693,FALSE
TBK1,1.1,0.0422183,0.401960098,FALSE
LIN9,0.86,0.2679642,0.744280986,FALSE
KCNJ12,1,0.9892905,0.996920922,FALSE
PRKD1,0.95,0.2057715,0.698227912,FALSE
CDCA2,0.82,0.2590103,0.740346026,FALSE
SUMO3,1.06,0.3641447,0.805846807,FALSE
SOCS1,0.72,0.07102479,0.498061736,FALSE
ATP6V0A2,1.04,0.747903,0.950668422,FALSE
SP1,1,0.9357142,0.985279163,FALSE
MRTFB,1.07,0.673325,0.937449214,FALSE
MITF,1.08,0.6560553,0.93175747,FALSE
EPOR,0.9,0.0207424,0.299109073,FALSE
